model,mileage,vol_engine,fuel,price(usd)
a4,188000,1781,2,5450.0
golf,238000,1896,1,3625.0
a6,170000,1968,1,23750.0
golf,115673,1984,2,11500.0
c-klasa,192000,1796,2,4475.0
focus,147052,1499,1,11450.0
octavia,83000,1968,1,29975.0
golf,150000,1968,1,9800.0
seria-1,107835,1995,1,9975.0
passat,116000,1798,2,5999.75
golf,250700,1598,0,2124.75
fabia,180000,1390,0,1725.0
a6,261260,1984,2,8225.0
astra,80800,1598,2,11475.0
octavia,184700,1781,2,2249.75
a4,277354,1984,2,2975.0
fabia,201500,1197,2,7325.0
c-klasa,257316,2597,2,3700.0
megane,204000,1397,2,6725.0
focus,135000,999,2,6225.0
a4,100099,1395,2,22499.75
megane,149000,1998,2,14975.0
e-klasa,138000,1950,1,36000.0
a4,179000,1968,1,22475.0
corsa,53100,1398,2,11725.0
qashqai,167100,1997,2,9625.0
golf,83524,1390,2,11475.0
octavia,175000,1968,1,14975.0
astra,220000,1598,2,2475.0
seria-5,225500,1995,1,12999.75
golf,123020,1968,1,19475.0
leon,84000,1798,2,13875.0
octavia,104790,1598,1,17749.75
focus,217000,1596,2,3687.5
a4,63000,1798,2,11125.0
octavia,274000,1968,1,6975.0
leon,175000,1968,1,9712.5
golf,292000,1595,2,2450.0
i30,225000,1582,1,7475.0
passat,249000,1968,1,5225.0
golf,136455,1781,2,2725.0
a3,125000,1781,2,2225.0
insignia,244319,1956,1,7175.0
corsa,97385,998,2,2750.0
seria-3,158000,1796,2,2750.0
golf,169000,1598,2,2237.5
passat,159000,1968,1,20800.0
c-klasa,217247,1796,2,4225.0
megane,202000,1397,2,3212.5
a4,254612,1968,1,18475.0
a3,255300,1595,2,2999.75
a4,283000,1896,1,3749.75
clio,112325,898,2,9225.0
mondeo,236800,1997,1,12475.0
megane,50000,1598,1,14500.0
corsa,170000,1364,2,3475.0
seria-5,196730,1995,1,21225.0
seria-3,218000,1995,2,5475.0
corsa,104975,1229,2,5475.0
seria-5,298452,2171,2,4166.5
focus,283624,1796,2,550.0
fabia,63000,999,2,9475.0
golf,93656,1395,2,17475.0
passat,260000,1896,1,987.5
a3,199000,1968,1,7472.5
passat,335000,1968,1,6975.0
insignia,254000,1956,1,5475.0
mondeo,277000,1997,1,4625.0
seria-1,238045,1995,2,4200.0
clio,149000,1598,2,1975.0
seria-5,265250,1995,1,6725.0
octavia,240873,1395,2,10500.0
a6,117000,1968,1,26250.0
corsa,145000,1398,2,4125.0
octavia,235000,1800,2,5725.0
passat,247000,1781,2,1225.0
focus,150000,1798,2,2725.0
a4,149000,1984,2,21250.0
golf,219000,1781,2,975.0
megane,91000,1197,2,13725.0
megane,196000,1461,1,5475.0
golf,333000,1896,1,8500.0
mondeo,135000,1997,1,17475.0
qashqai,109260,1598,2,10475.0
passat,149793,1968,1,18725.0
fabia,144902,1197,2,12475.0
leon,249000,1598,2,2499.75
megane,10,1332,2,28225.0
octavia,188680,1968,1,17475.0
passat,49124,1498,2,21225.0
seria-3,143765,1995,1,13975.0
ceed,69400,1582,1,14975.0
clio,13500,898,2,10975.0
leon,136000,1395,2,9475.0
mondeo,327400,1997,1,5625.0
corsa,165000,1229,2,3725.0
seria-5,260769,1995,1,11425.0
seria-3,177819,1997,2,15000.0
a3,234000,1395,2,4724.75
mondeo,190000,1798,2,2225.0
focus,198300,1753,1,1825.0
qashqai,116388,1618,2,18475.0
fiesta,115568,1242,2,4475.0
