model,mileage,vol_engine,fuel,price(usd)
1,261054,1968,1,2575.0
10,63142,1596,2,12875.0
14,86078,1598,1,22300.0
1,270000,1896,1,4725.0
2,259866,1896,1,3350.0
18,180000,1197,2,4225.0
2,215000,2393,0,4000.0
9,100000,999,0,8511.25
10,211000,1560,1,6426.75
3,85000,1598,2,5750.0
19,313643,1984,2,1025.0
4,188000,1598,1,17499.75
11,24000,1999,2,11225.0
24,22700,1591,2,21500.0
20,139162,1598,1,14225.0
23,298521,1991,2,1524.75
14,199609,1956,1,12875.0
9,68349,999,0,11799.5
3,40419,1399,2,14225.0
4,309920,2148,1,4450.0
1,63517,1968,1,30725.0
7,143000,1398,0,9225.0
1,224616,1968,1,8725.0
1,200654,1968,1,8725.0
9,4087,999,2,9975.0
23,313000,1995,1,5875.0
17,228000,1997,1,5725.0
22,191000,1995,1,16725.0
20,208000,1461,1,6450.0
4,33000,1991,2,10975.0
1,233189,1896,1,3725.0
12,199000,1598,1,13950.0
12,60000,1984,2,19225.0
4,149780,2143,1,10450.0
5,123000,1368,2,9725.0
14,175500,1598,1,17225.0
15,142354,1390,2,4725.0
16,12,1332,2,23725.0
1,188000,1781,2,5450.0
12,238000,1896,1,3625.0
2,170000,1968,1,23750.0
12,115673,1984,2,11500.0
4,192000,1796,2,4475.0
11,147052,1499,1,11450.0
18,83000,1968,1,29975.0
12,150000,1968,1,9800.0
21,107835,1995,1,9975.0
19,116000,1798,2,5999.75
12,250700,1598,0,2124.75
9,180000,1390,0,1725.0
2,261260,1984,2,8225.0
3,80800,1598,2,11475.0
18,184700,1781,2,2249.75
1,277354,1984,2,2975.0
9,201500,1197,2,7325.0
4,257316,2597,2,3700.0
16,204000,1397,2,6725.0
11,135000,999,2,6225.0
1,100099,1395,2,22499.75
16,149000,1998,2,14975.0
8,138000,1950,1,36000.0
1,179000,1968,1,22475.0
7,53100,1398,2,11725.0
20,167100,1997,2,9625.0
12,83524,1390,2,11475.0
18,175000,1968,1,14975.0
3,220000,1598,2,2475.0
23,225500,1995,1,12999.75
12,123020,1968,1,19475.0
15,84000,1798,2,13875.0
18,104790,1598,1,17749.75
11,217000,1596,2,3687.5
1,63000,1798,2,11125.0
18,274000,1968,1,6975.0
15,175000,1968,1,9712.5
12,292000,1595,2,2450.0
13,225000,1582,1,7475.0
19,249000,1968,1,5225.0
12,136455,1781,2,2725.0
0,125000,1781,2,2225.0
14,244319,1956,1,7175.0
7,97385,998,2,2750.0
22,158000,1796,2,2750.0
12,169000,1598,2,2237.5
19,159000,1968,1,20800.0
4,217247,1796,2,4225.0
16,202000,1397,2,3212.5
1,254612,1968,1,18475.0
0,255300,1595,2,2999.75
1,283000,1896,1,3749.75
6,112325,898,2,9225.0
17,236800,1997,1,12475.0
16,50000,1598,1,14500.0
7,170000,1364,2,3475.0
23,196730,1995,1,21225.0
22,218000,1995,2,5475.0
7,104975,1229,2,5475.0
23,298452,2171,2,4166.5
11,283624,1796,2,550.0
9,63000,999,2,9475.0
12,93656,1395,2,17475.0
19,260000,1896,1,987.5
0,199000,1968,1,7472.5
19,335000,1968,1,6975.0
14,254000,1956,1,5475.0
17,277000,1997,1,4625.0
21,238045,1995,2,4200.0
6,149000,1598,2,1975.0
23,265250,1995,1,6725.0
18,240873,1395,2,10500.0
2,117000,1968,1,26250.0
7,145000,1398,2,4125.0
18,235000,1800,2,5725.0
19,247000,1781,2,1225.0
11,150000,1798,2,2725.0
1,149000,1984,2,21250.0
12,219000,1781,2,975.0
16,91000,1197,2,13725.0
16,196000,1461,1,5475.0
12,333000,1896,1,8500.0
17,135000,1997,1,17475.0
20,109260,1598,2,10475.0
19,149793,1968,1,18725.0
9,144902,1197,2,12475.0
15,249000,1598,2,2499.75
16,10,1332,2,28225.0
18,188680,1968,1,17475.0
19,49124,1498,2,21225.0
22,143765,1995,1,13975.0
5,69400,1582,1,14975.0
6,13500,898,2,10975.0
15,136000,1395,2,9475.0
17,327400,1997,1,5625.0
7,165000,1229,2,3725.0
23,260769,1995,1,11425.0
22,177819,1997,2,15000.0
0,234000,1395,2,4724.75
17,190000,1798,2,2225.0
11,198300,1753,1,1825.0
20,116388,1618,2,18475.0
10,115568,1242,2,4475.0
24,235000,1975,2,6225.0
5,140364,1582,1,9225.0
7,63500,1398,0,11247.5
22,226000,1895,0,2075.0
17,121700,1596,2,6875.0
22,290000,1995,1,3975.0
17,176072,1997,1,13225.0
20,148000,1997,2,10225.0
5,140961,1368,2,8500.0
22,296000,1995,1,4475.0
18,232000,1968,1,11975.0
18,5,1498,2,27800.0
14,119347,1490,2,20475.0
11,161516,1596,2,3225.0
12,71000,1272,2,2325.0
23,214000,1995,1,13747.5
12,243228,1390,2,5475.0
10,80632,1242,2,5425.0
15,130000,1197,2,4975.0
18,165576,1968,1,21475.0
17,272850,1999,2,4975.0
3,103258,1598,1,12475.0
12,170000,1598,1,7200.0
12,135336,1598,1,15475.0
14,10647,1598,1,16475.0
18,99490,1598,1,13449.75
1,49000,1984,2,24325.0
16,122000,1598,2,4975.0
22,243000,1995,1,5650.0
5,57000,1368,2,14624.75
3,170000,1598,1,11875.0
7,69000,1398,0,8975.0
7,98950,1398,2,10225.0
6,136000,1461,1,6225.0
4,50500,1991,2,30375.0
12,152000,1598,1,10625.0
10,183000,1297,0,1725.0
21,188750,1499,2,12720.0
3,160000,1600,2,3475.0
15,181000,1595,2,2725.0
15,147000,1200,2,5497.5
15,198000,1968,1,14000.0
23,294000,1995,1,11225.0
12,79000,1598,1,17475.0
19,244000,1968,1,8975.0
16,240000,1598,2,4100.0
8,148991,2143,1,15625.0
19,211500,1968,1,13750.0
14,164000,1796,2,6975.0
10,104580,1242,2,6100.0
17,132106,1997,1,18499.75
16,121620,1397,2,6500.0
14,212400,1598,2,8975.0
0,179900,1595,2,5225.0
22,236840,1995,1,5750.0
4,180000,1796,2,7475.0
18,79732,2000,1,20475.0
2,243800,1968,1,16225.0
2,88000,1968,1,34500.0
12,175126,1598,1,9150.0
15,105000,1984,2,24750.0
0,205954,1598,1,8475.0
17,148000,1997,1,18725.0
1,174000,1968,1,16225.0
11,129000,1498,1,11475.0
6,217833,1390,2,1625.0
0,218000,1598,1,10750.0
11,128000,999,2,8650.0
8,200000,2143,1,12475.0
11,154000,1498,1,9475.0
12,185500,1968,1,15975.0
16,39101,1461,1,19975.0
23,212200,1995,1,19700.0
2,295000,2393,2,4975.0
18,142474,1598,1,13749.75
8,115000,1950,1,34975.0
3,213098,1686,1,6475.0
2,207300,1968,1,17475.0
13,5,998,2,19625.0
17,145221,1999,2,5475.0
22,171550,1796,2,1700.0
4,125000,1595,2,18725.0
11,246537,1596,2,1724.75
14,200892,1956,1,8725.0
17,213000,1798,2,925.0
24,145000,1591,2,12075.0
2,140781,1968,1,19875.0
12,5,1498,2,31455.0
21,221941,1995,2,4750.0
10,90000,1242,2,8475.0
14,184200,1956,1,11700.0
20,184000,1598,2,5875.0
3,122100,1400,2,13575.0
7,105000,1229,2,3225.0
6,199863,1149,2,3975.0
3,125000,1364,0,12475.0
21,136100,1995,1,15375.0
0,280000,1984,2,4875.0
1,269000,1984,2,5975.0
23,298014,1995,1,14225.0
6,127950,1149,2,7475.0
3,129357,1598,1,8917.5
9,23771,999,2,10225.0
20,10,1332,2,34337.5
11,161406,1997,1,11875.0
10,119845,1299,2,2625.0
21,232443,1995,1,4250.0
23,188000,2497,2,9425.0
22,96327,1499,2,19975.0
17,193898,1997,1,17700.0
21,218576,1995,1,5975.0
5,147568,1591,2,9475.0
18,127800,1968,1,17499.75
21,20229,1499,2,14975.0
14,151859,1796,0,7000.0
7,150000,1229,2,5475.0
15,252000,1896,1,4725.0
11,199000,1596,2,4725.0
11,40500,1596,0,13725.0
18,88000,1390,2,4875.0
11,113000,1596,2,12475.0
12,201000,1968,1,4975.0
3,185000,1686,1,5475.0
22,206000,1997,2,16250.0
5,22800,1591,2,24975.0
22,22000,1499,2,24975.0
12,198000,1595,2,1725.0
0,166151,1595,2,4999.75
11,193000,1596,2,4425.0
22,221500,1995,1,3975.0
23,244000,2171,0,5475.0
1,119460,1968,1,15000.0
1,179000,1968,1,19475.0
11,88000,2261,2,34725.0
16,184000,1998,2,1749.75
